filename	error
Y-nOq5m-eRZU_3.000_13.000.wav	[0;31mERROR:[0m [youtube] -nOq5m-eRZU: Private video. Sign in if you've been granted access to this video
Y-oQrR29dINE_60.000_70.000.wav	[0;31mERROR:[0m [youtube] -oQrR29dINE: Private video. Sign in if you've been granted access to this video
Y-y0bmymI4gg_30.000_40.000.wav	[0;31mERROR:[0m [youtube] -y0bmymI4gg: Video unavailable
Y-y0yDvJfGdY_30.000_40.000.wav	[0;31mERROR:[0m [youtube] -y0yDvJfGdY: Video unavailable
Y0-Hyr7i26-M_40.000_50.000.wav	[0;31mERROR:[0m [youtube] 0-Hyr7i26-M: Video unavailable
Y05zALRKaib0_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 05zALRKaib0: Private video. Sign in if you've been granted access to this video
Y08QpoeLJkTU_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 08QpoeLJkTU: Video unavailable
Y0AWFcHQxdsU_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0AWFcHQxdsU: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
Y0B46SFlR1k4_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0B46SFlR1k4: Private video. Sign in if you've been granted access to this video
Y0H43VJjD5vc_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0H43VJjD5vc: Video unavailable
Y0HmELJ6RgG0_340.000_350.000.wav	[0;31mERROR:[0m [youtube] 0HmELJ6RgG0: Private video. Sign in if you've been granted access to this video
Y0KrWJVuZfg0_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0KrWJVuZfg0: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
Y0L_2p3Edc-s_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0L_2p3Edc-s: Video unavailable. This video is no longer available because the YouTube account associated with this video has been terminated.
Y0PfQ5Ja2cCQ_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0PfQ5Ja2cCQ: Video unavailable
Y0SnvQcCVHZU_30.000_40.000.wav	[0;31mERROR:[0m giving up after 0 retries
Y0T0MFoavHic_30.000_40.000.wav	[0;31mERROR:[0m giving up after 0 retries
Y0UVCXuMtX0g_120.000_130.000.wav	[0;31mERROR:[0m [youtube] 0UVCXuMtX0g: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0U_ZKk7-wXs_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0U_ZKk7-wXs: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0UjddvwlLuE_21.000_31.000.wav	[0;31mERROR:[0m [youtube] 0UjddvwlLuE: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0W1sdHWIuAs_30.000_40.000.wav	[0;31mERROR:[0m giving up after 0 retries
Y0WliyKk5lbg_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0WliyKk5lbg: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0XF6krDXb5s_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0XF6krDXb5s: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0Xrg64OjC5o_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0Xrg64OjC5o: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0Y01I2Zd9Cc_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0Y01I2Zd9Cc: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0ZIy0COr3NM_10.000_20.000.wav	[0;31mERROR:[0m [youtube] 0ZIy0COr3NM: Unable to download API page: <urlopen error timed out> (caused by URLError(timeout('timed out')))
Y0ZP_JGQbwPw_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0ZP_JGQbwPw: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0ZWIzKZ1zD8_0.000_10.000.wav	[0;31mERROR:[0m [youtube] 0ZWIzKZ1zD8: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0ZmnmChNh1A_40.000_50.000.wav	[0;31mERROR:[0m [youtube] 0ZmnmChNh1A: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0_-XvaDuAOc_5.000_15.000.wav	[0;31mERROR:[0m [youtube] 0_-XvaDuAOc: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0_8771GBT4k_8.000_18.000.wav	[0;31mERROR:[0m [youtube] 0_8771GBT4k: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0_XFh5-nxQw_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0_XFh5-nxQw: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0_nVXkPA9Sk_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0_nVXkPA9Sk: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0_rilrJrZ0E_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0_rilrJrZ0E: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0a9ihM79X7I_360.000_370.000.wav	[0;31mERROR:[0m [youtube] 0a9ihM79X7I: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0aEwZLLrWF8_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0aEwZLLrWF8: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0aZF5Pn-zhM_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0aZF5Pn-zhM: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0ajEZTMYsWs_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0ajEZTMYsWs: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0azTPjI1rII_90.000_100.000.wav	[0;31mERROR:[0m [youtube] 0azTPjI1rII: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0bMuEbpYTws_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0bMuEbpYTws: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0bNyA9bIT60_20.000_30.000.wav	[0;31mERROR:[0m [youtube] 0bNyA9bIT60: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0bk8T9DGK18_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0bk8T9DGK18: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0bmzb1Vhf5U_0.000_7.000.wav	[0;31mERROR:[0m [youtube] 0bmzb1Vhf5U: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0c7SAYJGxjM_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0c7SAYJGxjM: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0cI33KTedNc_21.000_31.000.wav	[0;31mERROR:[0m [youtube] 0cI33KTedNc: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0cn7fTb6GSE_4.000_14.000.wav	[0;31mERROR:[0m [youtube] 0cn7fTb6GSE: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0dEDrhVH9Hs_100.000_110.000.wav	[0;31mERROR:[0m [youtube] 0dEDrhVH9Hs: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0dNoDdmS6G8_110.000_120.000.wav	[0;31mERROR:[0m [youtube] 0dNoDdmS6G8: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0e5W2EMMwCc_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0e5W2EMMwCc: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0e9gHLgzsmA_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0e9gHLgzsmA: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0eURlUhEb04_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0eURlUhEb04: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0eYUV57YAII_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0eYUV57YAII: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0eeMHpjwouQ_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0eeMHpjwouQ: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0eeY89E_2zA_10.000_20.000.wav	[0;31mERROR:[0m [youtube] 0eeY89E_2zA: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0eh8V4BDe7o_10.000_20.000.wav	[0;31mERROR:[0m [youtube] 0eh8V4BDe7o: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0er5-iJmlBE_40.000_50.000.wav	[0;31mERROR:[0m [youtube] 0er5-iJmlBE: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0f7hKI3JNQE_17.000_27.000.wav	[0;31mERROR:[0m [youtube] 0f7hKI3JNQE: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0fE0ZMBCmbk_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0fE0ZMBCmbk: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0fPqbvlhkOc_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0fPqbvlhkOc: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0fsem0iJ3GI_0.000_10.000.wav	[0;31mERROR:[0m [youtube] 0fsem0iJ3GI: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0fxD0B1b8sw_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0fxD0B1b8sw: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0g4Ih2aT7sU_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0g4Ih2aT7sU: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0g9Z107hDWQ_60.000_70.000.wav	[0;31mERROR:[0m [youtube] 0g9Z107hDWQ: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0gD6-Tes60A_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0gD6-Tes60A: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0gFSuvRi6TI_4.000_14.000.wav	[0;31mERROR:[0m [youtube] 0gFSuvRi6TI: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0gJPpZXeGms_10.000_20.000.wav	[0;31mERROR:[0m [youtube] 0gJPpZXeGms: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0gO8aoW90Y8_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0gO8aoW90Y8: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0gPlTfMVr20_20.000_30.000.wav	[0;31mERROR:[0m [youtube] 0gPlTfMVr20: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0gdCLkscZzM_90.000_100.000.wav	[0;31mERROR:[0m [youtube] 0gdCLkscZzM: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0gk9dznEN60_0.000_10.000.wav	[0;31mERROR:[0m [youtube] 0gk9dznEN60: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0gp45ijH6a4_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0gp45ijH6a4: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0gqQHktMvZU_190.000_200.000.wav	[0;31mERROR:[0m [youtube] 0gqQHktMvZU: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0h5NeRwdBbE_60.000_70.000.wav	[0;31mERROR:[0m [youtube] 0h5NeRwdBbE: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0hH-P2xQvMI_0.000_10.000.wav	[0;31mERROR:[0m [youtube] 0hH-P2xQvMI: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0hScaQJplis_24.000_34.000.wav	[0;31mERROR:[0m [youtube] 0hScaQJplis: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0hbWV3wGZS8_20.000_30.000.wav	[0;31mERROR:[0m [youtube] 0hbWV3wGZS8: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0hjJM-URVew_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0hjJM-URVew: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0i51hDY_RPA_80.000_90.000.wav	[0;31mERROR:[0m [youtube] 0i51hDY_RPA: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0iTS3KVLTf8_29.000_39.000.wav	[0;31mERROR:[0m [youtube] 0iTS3KVLTf8: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0iVmMWAx9Q4_18.000_28.000.wav	[0;31mERROR:[0m [youtube] 0iVmMWAx9Q4: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0iddfGXXM34_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0iddfGXXM34: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0ifCQo6t_zQ_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0ifCQo6t_zQ: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0il4ZrPFkh0_90.000_100.000.wav	[0;31mERROR:[0m [youtube] 0il4ZrPFkh0: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0jS_ViL5QmY_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0jS_ViL5QmY: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0jTGXM7yEqs_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0jTGXM7yEqs: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0jY3fH4-xtY_20.000_30.000.wav	[0;31mERROR:[0m [youtube] 0jY3fH4-xtY: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0jZ46GKbDO4_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0jZ46GKbDO4: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0jhMDwFvNUs_0.000_10.000.wav	[0;31mERROR:[0m [youtube] 0jhMDwFvNUs: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0kJ_iLMqVxw_20.000_30.000.wav	[0;31mERROR:[0m [youtube] 0kJ_iLMqVxw: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0kLtPfcdHo0_10.000_20.000.wav	[0;31mERROR:[0m [youtube] 0kLtPfcdHo0: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0kuC-9cmg4w_9.000_19.000.wav	[0;31mERROR:[0m [youtube] 0kuC-9cmg4w: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0lNMFBewKek_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0lNMFBewKek: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0lOpQriG9AQ_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0lOpQriG9AQ: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0lSzx8v1oEE_240.000_250.000.wav	[0;31mERROR:[0m [youtube] 0lSzx8v1oEE: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0ls79v47C78_14.000_24.000.wav	[0;31mERROR:[0m [youtube] 0ls79v47C78: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0mDkebaAeLI_120.000_130.000.wav	[0;31mERROR:[0m [youtube] 0mDkebaAeLI: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0mZqW7DclqI_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0mZqW7DclqI: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0mf31tqZhFs_60.000_70.000.wav	[0;31mERROR:[0m [youtube] 0mf31tqZhFs: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0mj1zUxzpzc_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0mj1zUxzpzc: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0mlV-ebLnLk_40.000_50.000.wav	[0;31mERROR:[0m [youtube] 0mlV-ebLnLk: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0n1F9N-BE94_21.000_31.000.wav	[0;31mERROR:[0m [youtube] 0n1F9N-BE94: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0nPYxC6V0fI_330.000_340.000.wav	[0;31mERROR:[0m [youtube] 0nPYxC6V0fI: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0nXHO9hRfO4_17.000_27.000.wav	[0;31mERROR:[0m [youtube] 0nXHO9hRfO4: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0nbo6g1KQ1k_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0nbo6g1KQ1k: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0ngtpz6rozU_120.000_130.000.wav	[0;31mERROR:[0m [youtube] 0ngtpz6rozU: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0njUbtV9tX0_24.000_34.000.wav	[0;31mERROR:[0m [youtube] 0njUbtV9tX0: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0nnEs24hhII_13.000_23.000.wav	[0;31mERROR:[0m [youtube] 0nnEs24hhII: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0no_rY6nRQA_22.000_32.000.wav	[0;31mERROR:[0m [youtube] 0no_rY6nRQA: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0nwpO4HoXbU_30.000_40.000.wav	[0;31mERROR:[0m [youtube] 0nwpO4HoXbU: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
Y0o4_jr1Xycg_20.000_30.000.wav	[0;31mERROR:[0m [youtube] 0o4_jr1Xycg: Unable to download API page: <urlopen error Tunnel connection failed: 503 Service Unavailable> (caused by URLError(OSError('Tunnel connection failed: 503 Service Unavailable')))
